Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,80562.0,40834.0,28839.0,186640.0,99664.0,50046.0,17175.0,,,,,7333420.0,3749760.0
Austria,9355.0,5075.0,11610.0,131724.0,60233.0,36285.0,14338.0,91707.0,38156.0,1395880.0,679789.0,1697123.0,864453.0
Belgium,36200.0,17733.0,18160.0,116768.0,54590.0,,,45504.0,20409.0,1388900.0,678868.0,1932797.0,984216.0
Canada,176470.0,89663.0,55385.0,321045.0,162820.0,338140000.0,125660000.0,,,,,,
Chile,,,5784.0,339350.0,,,,,,,,,
Czech Republic,5260.0,,1360.0,55872.0,22420.0,,,16248.0,6458.0,524142.0,228058.0,,
Denmark,2836.0,1623.0,3495.0,45267.0,21512.0,,,,,505992.0,249104.0,591678.0,296096.0
Estonia,766.0,409.0,90.0,9711.0,3644.0,3457.0,421.0,3907.0,1502.0,213667.0,101993.0,196207.0,112956.0
Finland,9211.0,4876.0,2955.0,23146.0,10311.0,,,7603.0,3119.0,249452.0,114161.0,372802.0,180785.0
France,110014.0,57244.0,111415.0,248916.0,,,,,,4616763.0,2317041.0,8145311.0,4223034.0
Germany,112340.0,60175.0,161930.0,1383580.0,535996.0,,,923580.0,306137.0,10623940.0,4881760.0,13172000.0,6476000.0
Greece,27857.0,13775.0,64985.0,87290.0,,,,,,,,,
Hungary,3508.0,,635.0,49312.0,18801.0,,,,,161549.0,68847.0,536182.0,264237.0
Iceland,569.0,310.0,730.0,11537.0,4314.0,,,4916.0,1838.0,37830.0,15929.0,54592.0,25359.0
Ireland,8225.0,,3655.0,61900.0,31500.0,11293.0,,28000.0,15400.0,593500.0,296800.0,,
Israel,,,16263.0,28099.0,14358.0,65800.0,27000.0,,,,,1811240.0,989480.0
Italy,112523.0,61321.0,53440.0,285500.0,127217.0,,,,,5144440.0,2672718.0,6175337.0,3321952.0
Japan,9074.0,,10493.0,519683.0,,100639.0,,292059.0,,2561848.0,1328025.0,,
Korea,14758.0,,16147.0,495079.0,226546.0,123936.0,32973.0,365117.0,163525.0,1171762.0,500336.0,,
Latvia,930.0,,175.0,6563.0,1596.0,3575.0,,2889.0,,272531.0,,246040.0,
Luxembourg,11864.0,6033.0,2225.0,23317.0,10760.0,,,11641.0,5105.0,288234.0,139958.0,280772.0,137955.0
Mexico,3872.0,1833.0,29623.0,38675.0,18482.0,5834.0,1861.0,,,423864.0,199544.0,1074752.0,534133.0
Netherlands,27851.0,14940.0,20465.0,191005.0,93796.0,9799.0,3216.0,102802.0,49396.0,1040810.0,519554.0,2215851.0,1151885.0
New Zealand,36840.0,18790.0,455.0,111798.0,54545.0,125864.0,59072.0,48517.0,23383.0,,,1271775.0,647376.0
Norway,10268.0,5262.0,2550.0,44406.0,21600.0,20299.0,8551.0,24526.0,10369.0,567783.0,258733.0,822360.0,395563.0
Poland,4593.0,1102.0,2405.0,137588.0,54685.0,657536.0,149722.0,,,239230.0,101432.0,,
Portugal,21333.0,11858.0,1240.0,93154.0,43564.0,,,,,421711.0,215837.0,,
Slovak Republic,721.0,386.0,155.0,2869.0,1138.0,34709.0,8088.0,32.0,12.0,72883.0,27463.0,190308.0,92933.0
Slovenia,1978.0,829.0,2800.0,24101.0,6489.0,,,,,121875.0,43019.0,250226.0,108649.0
Spain,90774.0,47988.0,52745.0,559998.0,283714.0,,,,,4562962.0,2309912.0,6200932.0,3223469.0
Sweden,58189.0,28973.0,18110.0,114431.0,53435.0,24477.0,9119.0,24097.0,10782.0,897336.0,409386.0,1877050.0,936404.0
Switzerland,42630.0,22357.0,13535.0,140087.0,65253.0,70362.0,24628.0,80749.0,36059.0,2053589.0,967195.0,2519068.0,1281700.0
Turkey,,,83818.0,466890.0,273203.0,,,323918.0,151207.0,919061.0,,2278490.0,1194336.0
United Kingdom,157023.0,81566.0,37365.0,486452.0,,,,,,5991000.0,3090000.0,9183000.0,4783000.0
United States,761901.0,420415.0,254300.0,1096611.0,584426.0,65343.0,19650.0,,,,,44525458.0,
