Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,119811.0,60693.0,4771.0,,203874.0,104089.0,24278.0,10072.0,30874.0,14895.0,,,5477900.0,2755050.0
Austria,10258.0,5455.0,12841.0,,94368.0,45361.0,54162.0,,60226.0,25568.0,829679.0,405629.0,1235678.0,644025.0
Belgium,37710.0,19621.0,12252.0,,106012.0,52678.0,24980.0,8871.0,44937.0,,971448.0,476551.0,1380323.0,713553.0
Canada,176617.0,92517.0,34800.0,,247242.0,128640.0,248831.0,93162.0,,,,,,
Chile,623.0,334.0,872.0,,43577.0,21619.0,32352.0,,,,,,290901.0,
Czech Republic,1837.0,,1711.0,,76151.0,27916.0,,,3821.0,726.0,392315.0,155292.0,,
Denmark,6111.0,3221.0,2360.0,,37018.0,17633.0,7568.0,,23341.0,11092.0,298490.0,150739.0,378665.0,192713.0
Estonia,2124.0,,14.0,,1929.0,771.0,1150.0,,546.0,255.0,,,,
Finland,6682.0,3778.0,4016.0,,19906.0,8745.0,25000.0,,4496.0,1828.0,132708.0,64176.0,202528.0,101559.0
France,137452.0,,35404.0,,146964.0,106935.0,29751.0,8401.0,,,3731224.0,1819010.0,7129254.0,3652944.0
Germany,94470.0,47437.0,22085.0,,573815.0,229306.0,30729.0,9317.0,563130.0,,6744879.0,3285080.0,10505000.0,5279000.0
Greece,16922.0,8197.0,19884.0,,42901.0,,,,,,643066.0,310304.0,,
Hungary,8104.0,4556.0,3118.0,713.0,35547.0,14575.0,42457.0,,4241.0,1391.0,174697.0,84759.0,381781.0,202720.0
Iceland,914.0,525.0,77.0,,7471.0,2931.0,,,5850.0,1281.0,23421.0,9101.0,35895.0,15954.0
Ireland,4350.0,,3866.0,,89700.0,47500.0,13567.0,,36100.0,13600.0,519600.0,244100.0,,
Israel,,,4140.0,,13701.0,7286.0,30300.0,,,,,,1916000.0,1037000.0
Italy,53696.0,32703.0,30324.0,,496549.0,268685.0,272791.0,,27023.0,13698.0,3432651.0,1730834.0,,
Japan,13218.0,,1599.0,,344509.0,,72140.0,,234160.0,,2151400.0,1150116.0,,
Korea,15258.0,,364.0,,302174.0,135648.0,,,209988.0,83225.0,800262.0,344899.0,,
Latvia,4230.0,2297.0,,51.0,3465.0,,,,,,404876.0,214701.0,335817.0,
Luxembourg,1215.0,,463.0,,16803.0,7630.0,31143.0,10198.0,7958.0,3505.0,205889.0,102424.0,183690.0,
Mexico,4471.0,2189.0,317.0,,15913.0,,,,,,,,772470.0,380869.0
Netherlands,28229.0,15317.0,13399.0,,103356.0,,15584.0,,49752.0,22718.0,688375.0,348841.0,1751033.0,760502.0
New Zealand,23781.0,12334.0,254.0,,90072.0,43192.0,92646.0,41812.0,39514.0,18908.0,,,,
Norway,10312.0,5622.0,14431.0,,58820.0,24990.0,52518.0,11579.0,15160.0,6077.0,266260.0,127572.0,445360.0,220861.0
Poland,1054.0,,7203.0,,41834.0,,18022.0,,,,57548.0,30734.0,,
Portugal,22408.0,9914.0,161.0,,72826.0,36939.0,,,,,446333.0,195640.0,,
Slovak Republic,478.0,256.0,910.0,,7415.0,2079.0,15175.0,,158.0,50.0,40904.0,15164.0,61361.0,
Slovenia,1691.0,797.0,238.0,,28062.0,5762.0,86313.0,6698.0,7343.0,1469.0,68621.0,17137.0,241698.0,104370.0
Spain,84170.0,47597.0,4517.0,,567372.0,272970.0,69485.0,30273.0,254927.0,102484.0,5086295.0,2370157.0,5878919.0,2804375.0
Sweden,30254.0,16845.0,24353.0,,83318.0,40098.0,5719.0,1525.0,19242.0,8265.0,524488.0,256658.0,1227770.0,634744.0
Switzerland,44365.0,23338.0,16606.0,,157271.0,,76681.0,,54131.0,,1570965.0,737049.0,,
Turkey,5968.0,,12981.0,,,,,,,,98064.0,,,
United Kingdom,129377.0,65506.0,31315.0,,456000.0,219000.0,77660.0,,243000.0,124000.0,4186000.0,2142000.0,6633000.0,3412000.0
United States,1046539.0,589427.0,39362.0,,1107126.0,600555.0,74970.0,18998.0,,,21843559.0,10250382.0,38048456.0,18896949.0
