Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,133126.0,68419.0,27632.0,218488.0,115156.0,60722.0,21163.0,33200.0,15600.0,,,6912110.0,3524620.0
Austria,8530.0,4623.0,39952.0,158746.0,70579.0,31425.0,12656.0,89026.0,36704.0,1267674.0,615065.0,1594723.0,812608.0
Belgium,31935.0,15541.0,14670.0,103187.0,49347.0,6707.0,,48656.0,21882.0,1333243.0,648786.0,1849287.0,940903.0
Canada,147267.0,77644.0,23833.0,296385.0,152060.0,285025000.0,106255000.0,,,2404815.0,1243085.0,7540830.0,
Chile,788.0,409.0,2299.0,135490.0,60956.0,,,,,,,,
Czech Republic,5536.0,,1214.0,34808.0,15358.0,,,13441.0,5774.0,464670.0,202474.0,,
Denmark,15028.0,8284.0,6235.0,54641.0,25670.0,,,37381.0,18043.0,463147.0,229356.0,540503.0,270580.0
Estonia,1775.0,889.0,69.0,7693.0,2937.0,2480.0,351.0,3402.0,1307.0,211517.0,101970.0,193813.0,113474.0
Finland,9375.0,4914.0,5319.0,27274.0,11360.0,,,7479.0,3341.0,229765.0,107413.0,337162.0,165651.0
France,119152.0,61271.0,70748.0,245663.0,124296.0,39079.0,14217.0,,,4542000.0,2188470.0,7944800.0,4106115.0
Germany,110383.0,59488.0,722364.0,1719075.0,651428.0,,,1083767.0,357196.0,9107893.0,4234599.0,11453000.0,5772000.0
Greece,32819.0,15967.0,49847.0,86120.0,,,,,,686419.0,,648465.0,350209.0
Hungary,4315.0,2128.0,28070.0,23803.0,10288.0,5867.0,,10464.0,4348.0,156606.0,68912.0,504302.0,252085.0
Iceland,703.0,411.0,1132.0,7859.0,3025.0,,,3644.0,1661.0,26485.0,12482.0,42020.0,21195.0
Ireland,10044.0,5060.0,2237.0,53900.0,27300.0,7691.0,,29100.0,15400.0,607408.0,302587.0,810406.0,412674.0
Israel,,,8150.0,25977.0,13353.0,52600.0,22618.0,,,,,1817500.0,991250.0
Italy,201591.0,98328.0,122124.0,262929.0,115581.0,,,,,5026854.0,2644666.0,5907452.0,3215553.0
Japan,9554.0,,10901.0,427585.0,,84500.0,,233508.0,,2232189.0,1182119.0,,
Korea,12854.0,,7542.0,402203.0,184751.0,125518.0,34290.0,324960.0,147187.0,1143087.0,486822.0,,
Latvia,1957.0,,344.0,3448.0,1159.0,2071.0,,3041.0,,288946.0,154010.0,258889.0,157075.0
Luxembourg,7140.0,3597.0,1938.0,21557.0,9963.0,,,11336.0,5176.0,269175.0,130701.0,260573.0,
Mexico,2940.0,1352.0,8781.0,35906.0,16900.0,8566.0,2979.0,,,355206.0,166045.0,,
Netherlands,28534.0,15628.0,18414.0,182160.0,86195.0,7684.0,2064.0,89920.0,43053.0,900504.0,452804.0,2056523.0,1072936.0
New Zealand,32862.0,16910.0,387.0,105599.0,52052.0,134032.0,62055.0,41416.0,19745.0,,,,
Norway,14676.0,7917.0,3202.0,58508.0,26914.0,30574.0,8810.0,30730.0,13071.0,538223.0,244527.0,772477.0,369370.0
Poland,4086.0,,9840.0,107038.0,40509.0,126939.0,33936.0,,,149586.0,65088.0,,
Portugal,25104.0,13290.0,1463.0,46921.0,22944.0,,,,,388731.0,200086.0,,
Slovak Republic,484.0,237.0,100.0,3610.0,1261.0,14314.0,3303.0,127.0,58.0,65840.0,24906.0,181642.0,89864.0
Slovenia,1297.0,576.0,1263.0,13760.0,4996.0,23268.0,2331.0,2157.0,686.0,107766.0,37295.0,241203.0,105107.0
Spain,150944.0,80455.0,16274.0,352174.0,180005.0,7131.0,2237.0,237500.0,104349.0,4417517.0,2197619.0,5918341.0,3040120.0
Sweden,60343.0,31408.0,22411.0,142986.0,62394.0,11012.0,4815.0,23453.0,10299.0,782833.0,365658.0,1676264.0,848237.0
Switzerland,41587.0,21742.0,25872.0,143100.0,66900.0,70630.0,24980.0,77590.0,34757.0,1993916.0,936268.0,2416394.0,1233151.0
Turkey,,,77851.0,273869.0,179290.0,,,177960.0,79720.0,650308.0,340161.0,1777290.0,946935.0
United Kingdom,149421.0,77084.0,38380.0,455000.0,220000.0,,,195000.0,86000.0,5951000.0,3098000.0,8988000.0,4687000.0
United States,753060.0,420483.0,261970.0,1183505.0,644002.0,65542.0,19510.0,,,22426200.0,10980713.0,43289646.0,
