Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,137750.0,70487.0,36245.0,224220.0,118285.0,56813.0,18933.0,,,,,7139440.0,3646110.0
Austria,9125.0,4835.0,22470.0,139329.0,64435.0,33347.0,13236.0,89556.0,37558.0,1341930.0,650924.0,1656266.0,842232.0
Belgium,37401.0,18663.0,14055.0,109515.0,52466.0,7263.0,,48277.0,21901.0,1366500.0,666377.0,1893433.0,963637.0
Canada,105813.0,55143.0,49425.0,286485.0,146360.0,300745000.0,112575000.0,,,,,,
Chile,2976.0,,5656.0,207200.0,,220274.0,,,,952711.0,,746435.0,
Czech Republic,6440.0,,1140.0,43527.0,17990.0,,,14428.0,5867.0,493441.0,215496.0,,
Denmark,7272.0,4266.0,3140.0,49046.0,23504.0,,,41532.0,19612.0,484986.0,238809.0,570581.0,284984.0
Estonia,882.0,470.0,180.0,9067.0,3306.0,2770.0,323.0,4344.0,1668.0,212213.0,101963.0,192535.0,112191.0
Finland,12219.0,6375.0,4350.0,23735.0,10419.0,,,6806.0,3077.0,243639.0,112340.0,357541.0,173990.0
France,114274.0,58676.0,91965.0,245902.0,121179.0,45845.0,16349.0,,,4704000.0,2267149.0,8106857.0,4193998.0
Germany,112211.0,60793.0,198310.0,1384018.0,540581.0,,,885460.0,295462.0,10039080.0,4609655.0,12738000.0,6271000.0
Greece,34305.0,16907.0,56950.0,80504.0,,,,,,538400.0,,,
Hungary,2787.0,,3120.0,36453.0,14894.0,,,12872.0,,151132.0,66001.0,514127.0,255968.0
Iceland,637.0,377.0,1065.0,11758.0,4144.0,,,3870.0,1565.0,30275.0,13584.0,46515.0,22685.0
Ireland,8195.0,4141.0,2910.0,57200.0,28600.0,9401.0,,34000.0,16000.0,566600.0,284300.0,,
Israel,,,15368.0,26357.0,13606.0,57300.0,25200.0,,,,,1812420.0,989170.0
Italy,146605.0,74621.0,126560.0,301071.0,125183.0,,,40551.0,22824.0,5047028.0,2642899.0,6053960.0,3275573.0
Japan,10315.0,,19250.0,474996.0,,87321.0,,259216.0,,2382822.0,1247741.0,,
Korea,13293.0,,9942.0,452657.0,207260.0,118893.0,33793.0,348709.0,155964.0,1161677.0,496877.0,,
Latvia,962.0,,355.0,5136.0,1510.0,2158.0,,2318.0,,279446.0,,251465.0,
Luxembourg,9030.0,4535.0,2325.0,23147.0,10704.0,,,11575.0,5062.0,281497.0,136788.0,270745.0,133056.0
Mexico,3067.0,1470.0,14596.0,32778.0,15603.0,5312.0,1704.0,,,381770.0,179602.0,,
Netherlands,27663.0,15159.0,16090.0,183856.0,91476.0,8813.0,2508.0,96424.0,45730.0,972300.0,484559.0,2137236.0,1110530.0
New Zealand,37464.0,19087.0,560.0,105275.0,51558.0,131286.0,60755.0,48229.0,22532.0,,,,
Norway,21648.0,12183.0,3385.0,49774.0,24310.0,31047.0,8620.0,26623.0,11244.0,559227.0,254526.0,799797.0,383043.0
Poland,4259.0,902.0,3005.0,127997.0,49016.0,942504.0,245100.0,,,210328.0,88334.0,,
Portugal,18022.0,10050.0,1015.0,61413.0,29747.0,,,,,397731.0,204930.0,,
Slovak Republic,645.0,323.0,155.0,2911.0,1137.0,20065.0,4461.0,31.0,8.0,69695.0,26246.0,186217.0,91406.0
Slovenia,1563.0,669.0,1440.0,15520.0,5212.0,32205.0,2750.0,2429.0,614.0,114438.0,40124.0,245369.0,106826.0
Spain,66498.0,33750.0,30445.0,454424.0,234066.0,5537.0,1425.0,280193.0,125638.0,4419455.0,2212209.0,6024523.0,3112688.0
Sweden,61826.0,31999.0,22225.0,124976.0,57339.0,16190.0,7133.0,23372.0,10537.0,851949.0,391290.0,1784497.0,894402.0
Switzerland,44515.0,23172.0,16670.0,137803.0,64729.0,68070.0,24402.0,79104.0,35295.0,2029527.0,954191.0,2480032.0,1261110.0
Turkey,,,123597.0,364561.0,222250.0,,,253640.0,116770.0,816410.0,,1923894.0,1020666.0
United Kingdom,123213.0,63529.0,33380.0,520000.0,237000.0,,,222000.0,98000.0,6137000.0,3211000.0,9369000.0,4911000.0
United States,707265.0,396234.0,331700.0,1127167.0,605911.0,64839.0,19093.0,,,22415312.0,11004045.0,43738901.0,
