Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,137493.0,70009.0,3980.0,,189490.0,97879.0,23376.0,9898.0,29705.0,13948.0,,,5233250.0,2637080.0
Austria,14010.0,7600.0,11921.0,,91546.0,43569.0,48643.0,,56643.0,23694.0,804779.0,390919.0,1215695.0,631509.0
Belgium,36063.0,,11115.0,,93387.0,46066.0,23028.0,7376.0,38511.0,,932161.0,457726.0,1319302.0,683821.0
Canada,199894.0,104961.0,28342.0,,236751.0,122778.0,212918.0,82724.0,,,,,,
Chile,705.0,353.0,756.0,,53071.0,26671.0,32648.0,,,,,,258829.0,
Czech Republic,1877.0,,1878.0,,102511.0,39916.0,,,18424.0,6579.0,321456.0,,,
Denmark,4150.0,2333.0,1852.0,,31430.0,14884.0,17237.0,,18995.0,9151.0,278096.0,141488.0,360902.0,184612.0
Estonia,4230.0,,14.0,,1952.0,823.0,,,444.0,237.0,,,,
Finland,4824.0,2739.0,1434.0,,17504.0,7984.0,23000.0,,3113.0,1293.0,121739.0,59532.0,187910.0,94811.0
France,131738.0,,29387.0,,145876.0,109723.0,19380.0,6305.0,,,3696874.0,1795581.0,7017207.0,3590177.0
Germany,113030.0,57019.0,19164.0,,574752.0,231307.0,29208.0,9261.0,475752.0,,6751004.0,3275731.0,10410000.0,5213000.0
Greece,10806.0,2716.0,25113.0,,46333.0,,,,,,570570.0,285507.0,,
Hungary,8442.0,4726.0,3425.0,693.0,22607.0,,55230.0,,4133.0,,166030.0,81957.0,344600.0,187635.0
Iceland,647.0,371.0,42.0,,9318.0,3054.0,,,4019.0,744.0,18563.0,7062.0,30387.0,13547.0
Ireland,6656.0,,3988.0,,120400.0,56100.0,23604.0,,33400.0,13800.0,413223.0,193079.0,601732.0,289248.0
Israel,,,4630.0,,18131.0,9593.0,36500.0,,,,,,1930000.0,1043000.0
Italy,45485.0,,14053.0,,515201.0,281135.0,,,20316.0,10640.0,2938922.0,1465849.0,,
Japan,14680.0,,816.0,,336646.0,,77865.0,,214886.0,,2083202.0,1115641.0,,
Korea,10319.0,,717.0,,300360.0,134487.0,,,152072.0,61005.0,660607.0,275973.0,,
Latvia,8322.0,,,34.0,3541.0,,,,,,432951.0,227702.0,,
Luxembourg,1236.0,,426.0,,15766.0,7321.0,31044.0,9967.0,8642.0,3744.0,198259.0,98549.0,,
Mexico,5470.0,2590.0,374.0,,7186.0,2960.0,,,,,,,722590.0,353803.0
Netherlands,30653.0,16679.0,7102.0,,80258.0,,50027.0,,47927.0,21866.0,681932.0,345854.0,1732379.0,754178.0
New Zealand,29917.0,15263.0,245.0,,83984.0,40725.0,87702.0,40101.0,37098.0,17746.0,,,,
Norway,14877.0,8140.0,6528.0,,53498.0,21726.0,54719.0,10724.0,13324.0,6050.0,238305.0,118678.0,405109.0,204540.0
Poland,1528.0,,7205.0,,40637.0,,12153.0,,,,54883.0,29192.0,,
Portugal,6020.0,,224.0,,32599.0,,,,,,434869.0,195294.0,,
Slovak Republic,1478.0,,2643.0,,7207.0,1980.0,,,257.0,53.0,32130.0,12845.0,,
Slovenia,1551.0,322.0,425.0,,27504.0,4765.0,62330.0,5056.0,11765.0,2592.0,,,227463.0,102821.0
Spain,71810.0,39837.0,7662.0,,920534.0,418366.0,222944.0,86508.0,198974.0,80187.0,4519554.0,2123869.0,5249993.0,2522135.0
Sweden,33436.0,18116.0,36370.0,,83536.0,38266.0,6100.0,1672.0,20428.0,8890.0,491996.0,243971.0,1175200.0,610769.0
Switzerland,43889.0,22996.0,10387.0,,139685.0,,74337.0,,56246.0,,1523586.0,717473.0,,
Turkey,4359.0,,7646.0,,,,,,,,,,,
United Kingdom,164637.0,83611.0,28300.0,,455000.0,205000.0,87968.0,,158000.0,77000.0,3824000.0,1941000.0,6192000.0,3204000.0
United States,660477.0,365807.0,40449.0,,1052415.0,581031.0,72629.0,22183.0,,,21696303.0,10232259.0,37469387.0,18610135.0
