Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,88470.0,45790.0,3201.0,,146441.0,74957.0,44427.0,18461.0,28769.0,13384.0,,,4752950.0,2392290.0
Austria,41645.0,20732.0,24634.0,,104246.0,48874.0,,,50018.0,20931.0,754216.0,362028.0,1141212.0,592004.0
Belgium,34754.0,,15357.0,,72446.0,37976.0,4321.0,1132.0,37728.0,,860287.0,417648.0,1185456.0,613713.0
Canada,194130.0,101939.0,25750.0,,235822.0,121658.0,141099.0,52631.0,,,,,,
Chile,376.0,,203.0,,32099.0,,17625.0,,,,,,223000.0,
Czech Republic,5020.0,,5459.0,,50804.0,17797.0,,,33784.0,9866.0,240421.0,,,
Denmark,14976.0,,3235.0,,18706.0,,4300.0,,15761.0,,271211.0,138351.0,337802.0,172597.0
Estonia,6523.0,,14.0,,759.0,331.0,,,648.0,304.0,,,,
Finland,6880.0,4015.0,3861.0,,11511.0,5629.0,15230.0,,4186.0,1735.0,107003.0,53524.0,158867.0,80342.0
France,168826.0,,58545.0,,141554.0,,7625.0,,,,,,,
Germany,127153.0,62593.0,35607.0,,602182.0,250093.0,380330.0,,546965.0,,7334765.0,3439984.0,,
Greece,,,4469.0,,,,,,,,472835.0,233816.0,,
Hungary,5432.0,,1600.0,624.0,22164.0,,79233.0,,3466.0,,130109.0,66992.0,307817.0,
Iceland,671.0,387.0,76.0,,2512.0,956.0,,,1544.0,672.0,10180.0,5450.0,19530.0,10550.0
Ireland,3784.0,,4769.0,,41800.0,19800.0,34067.0,,,,,,,
Israel,,,940.0,,20899.0,10951.0,47900.0,,,,,,1975000.0,1061000.0
Italy,19140.0,,9722.0,,394756.0,195145.0,,,14019.0,7171.0,1990159.0,978232.0,,
Japan,16336.0,,426.0,,371983.0,,158877.0,,278461.0,,1915030.0,,,
Korea,9262.0,,145.0,,178530.0,74869.0,,,150548.0,56155.0,460261.0,178967.0,,
Latvia,17178.0,,,7.0,,,,,,,514957.0,275192.0,,
Luxembourg,841.0,,1577.0,,12245.0,5424.0,22894.0,7226.0,7497.0,,177759.0,88544.0,,
Mexico,6429.0,,404.0,,8513.0,,,,,,,,,
Netherlands,26173.0,13864.0,9782.0,,65121.0,,44113.0,,46074.0,19648.0,702185.0,346171.0,1731788.0,742318.0
New Zealand,22227.0,11671.0,580.0,,71647.0,35622.0,83113.0,39079.0,38282.0,18286.0,,,,
Norway,8154.0,4457.0,7945.0,,27864.0,14281.0,33039.0,9372.0,13856.0,6588.0,204731.0,103888.0,347280.0,176385.0
Poland,1937.0,,8079.0,,36851.0,,12381.0,,,,,,,
Portugal,1346.0,,113.0,,34096.0,,19291.0,,129.0,,434252.0,158894.0,,
Slovak Republic,4016.0,,11395.0,,7919.0,,3277.0,,5002.0,,29196.0,,,
Slovenia,,,1173.0,,,,,,6004.0,1186.0,,,219531.0,101268.0
Spain,38335.0,20854.0,5535.0,,645844.0,291122.0,152074.0,,41936.0,17407.0,3034326.0,1428603.0,3693806.0,1782221.0
Sweden,28599.0,15444.0,23161.0,,47580.0,24218.0,3561.0,1116.0,16021.0,7259.0,476076.0,240082.0,1078075.0,562087.0
Switzerland,35685.0,18713.0,14248.0,,96270.0,,39951.0,,47890.0,,1471033.0,692030.0,,
Turkey,8238.0,,3908.0,,,,,,,,,,,
United Kingdom,148273.0,77744.0,40625.0,,434322.0,223000.0,89454.0,,126244.0,,2742000.0,1476000.0,,
United States,537151.0,290267.0,44972.0,,957883.0,523226.0,73180.0,20492.0,,,20634068.0,9859604.0,33667678.0,16907714.0
