Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,86858.0,44779.0,5863.0,,119080.0,60958.0,33743.0,13535.0,,,,,4534510.0,2273410.0
Austria,36011.0,17721.0,39354.0,,86144.0,39860.0,,,44478.0,18182.0,730261.0,346400.0,1112094.0,575325.0
Belgium,46417.0,,18805.0,,70230.0,35564.0,6675.0,,31046.0,,846734.0,408619.0,1117261.0,575598.0
Canada,140967.0,72350.0,39498.0,,228919.0,116213.0,110915.0,29930.0,,,,,,
Chile,245.0,,43.0,,29942.0,,,,,,,,,
Czech Republic,4532.0,,8484.0,,43648.0,,,,31091.0,,210794.0,,,
Denmark,17300.0,,6068.0,,21485.0,,4814.0,,14887.0,,266729.0,135354.0,321794.0,163646.0
Estonia,4091.0,,9.0,,,,,,,,273766.0,,249496.0,
Finland,3049.0,1583.0,3443.0,,9972.0,4913.0,13305.0,,2757.0,1171.0,98577.0,49341.0,145139.0,73232.0
France,128092.0,,51087.0,,124232.0,,8461.0,,,,,,,
Germany,154547.0,74826.0,71127.0,,658341.0,277059.0,374037.0,,505572.0,,7318628.0,3370110.0,,
Greece,,,5664.0,,,,,,,,355758.0,173463.0,,
Hungary,3369.0,,6412.0,541.0,17972.0,,49779.0,,2388.0,,116429.0,59572.0,300069.0,
Iceland,356.0,223.0,117.0,,1855.0,1025.0,,,1110.0,547.0,9850.0,5291.0,18338.0,9860.0
Ireland,2817.0,,11634.0,,39900.0,21000.0,40321.0,,,,,,,
Israel,,,355.0,,33570.0,17539.0,33200.0,,,,,,1978000.0,1068000.0
Italy,10682.0,,16015.0,,161914.0,81670.0,,,9982.0,4988.0,1448392.0,,,
Japan,14339.0,,250.0,,343811.0,,145097.0,,248435.0,,1778462.0,,,
Korea,3883.0,,37.0,,158941.0,66630.0,,,113372.0,44191.0,229648.0,99251.0,,
Latvia,9421.0,,,30.0,,,,,,,556777.0,300514.0,,
Luxembourg,754.0,,1043.0,,10988.0,5088.0,22377.0,7363.0,8269.0,,166720.0,,144844.0,73063.0
Mexico,4737.0,,257.0,,5828.0,,,,,,,,,
Netherlands,45321.0,23050.0,18667.0,,86619.0,,34558.0,,39594.0,16803.0,690393.0,334167.0,1674581.0,718978.0
New Zealand,19569.0,10145.0,997.0,,102337.0,49422.0,65911.0,28828.0,27438.0,13237.0,,,,
Norway,9041.0,4996.0,17480.0,,30788.0,16091.0,23477.0,8191.0,12273.0,5908.0,185863.0,93545.0,315147.0,158297.0
Poland,1186.0,,5170.0,,30243.0,,22776.0,,,,,,,
Portugal,1369.0,,245.0,,71974.0,,55282.0,,76.0,,350503.0,126934.0,651472.0,330511.0
Slovak Republic,3484.0,,9743.0,,4784.0,,,,,,29418.0,,,
Slovenia,,,702.0,,,,,,4645.0,1335.0,,,217191.0,100735.0
Spain,21810.0,,6309.0,,443085.0,210386.0,97558.0,,6931.0,3251.0,1977946.0,929767.0,2594052.0,1258609.0
Sweden,37792.0,20604.0,33016.0,,47603.0,23511.0,10046.0,,14196.0,6394.0,471344.0,241696.0,1027974.0,535913.0
Switzerland,36515.0,19029.0,26125.0,,101876.0,,40096.0,,49697.0,,1419095.0,664417.0,,
Turkey,23725.0,,3795.0,,,,,,,,,,,
United Kingdom,120121.0,62173.0,103080.0,,288770.0,143000.0,88622.0,,141315.0,,2587000.0,1344000.0,,
United States,572646.0,300962.0,58439.0,,1059356.0,575595.0,79205.0,20083.0,,,18533679.0,8938888.0,31548128.0,15894576.0
