Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,104333.0,53711.0,3515.0,,176205.0,90459.0,26711.0,11737.0,29028.0,13773.0,,,5031630.0,2538850.0
Austria,25746.0,13169.0,13349.0,,82899.0,39050.0,34409.0,,55045.0,23165.0,796666.0,385115.0,1195156.0,619821.0
Belgium,31860.0,,11587.0,,83433.0,42406.0,12472.0,3757.0,39354.0,,900473.0,441403.0,1268915.0,658525.0
Canada,260838.0,135299.0,22873.0,,251641.0,129514.0,177311.0,67103.0,,,1758870.0,926400.0,6186950.0,3222795.0
Chile,503.0,249.0,573.0,,37035.0,18964.0,29086.0,,,,,,247365.0,
Czech Republic,2346.0,,3016.0,,66125.0,25362.0,,,31388.0,11951.0,278312.0,,,
Denmark,7961.0,4293.0,1918.0,,23979.0,,13552.0,,17269.0,9722.0,270051.0,137909.0,350436.0,179637.0
Estonia,4753.0,,7.0,,1488.0,625.0,,,563.0,293.0,,,,
Finland,4433.0,2538.0,2331.0,,13868.0,6505.0,21000.0,,2713.0,1133.0,113852.0,56101.0,176612.0,89317.0
France,147868.0,,30748.0,,228693.0,115615.0,18584.0,5697.0,,,3541820.0,1708687.0,6910060.0,3531022.0
Germany,124566.0,61517.0,21029.0,,558467.0,224744.0,30121.0,9435.0,483774.0,,6755811.0,3262011.0,10371000.0,5179000.0
Greece,,,12267.0,,63216.0,,,,,,553061.0,274717.0,,
Hungary,6172.0,3434.0,2117.0,691.0,23569.0,,71128.0,,3956.0,,154430.0,77069.0,331493.0,
Iceland,844.0,490.0,39.0,,7070.0,1934.0,,,1535.0,585.0,13778.0,6162.0,24678.0,12128.0
Ireland,5763.0,,4314.0,,88900.0,38100.0,24854.0,,20700.0,10000.0,,,,
Israel,,,5760.0,,19269.0,10247.0,32700.0,,,,,,1948000.0,1049000.0
Italy,35266.0,,10348.0,,254588.0,141064.0,,,16974.0,8828.0,2670514.0,1319926.0,,
Japan,14108.0,,954.0,,325621.0,,81374.0,,218810.0,,2011555.0,,,
Korea,8125.0,,278.0,,302963.0,122511.0,,,174242.0,66513.0,510509.0,213869.0,,
Latvia,18964.0,,,8.0,2801.0,,,,,,456757.0,240417.0,,
Luxembourg,1128.0,,523.0,,13731.0,6287.0,27298.0,8828.0,7678.0,3325.0,191328.0,95420.0,,
Mexico,4175.0,1995.0,480.0,,6874.0,,,,,,,,631194.0,310689.0
Netherlands,29089.0,15848.0,14465.0,,67657.0,,74056.0,,52484.0,23357.0,691357.0,348712.0,1734722.0,752291.0
New Zealand,29165.0,14692.0,276.0,,80184.0,39544.0,81261.0,38209.0,36499.0,17531.0,,,879537.0,452556.0
Norway,11955.0,6264.0,5320.0,,37425.0,16805.0,40451.0,8036.0,12490.0,6059.0,222277.0,112712.0,380367.0,193834.0
Poland,989.0,,4430.0,,34210.0,,10754.0,,,,,,,
Portugal,3627.0,,128.0,,22457.0,,13800.0,,,,415934.0,179589.0,,
Slovak Republic,1125.0,,2871.0,,4287.0,1417.0,4229.0,,175.0,43.0,25563.0,10699.0,,
Slovenia,,,518.0,,,,43635.0,4486.0,11046.0,1636.0,,,222297.0,101935.0
Spain,62339.0,34612.0,5297.0,,802971.0,379974.0,115457.0,40997.0,120254.0,48915.0,4144166.0,1928697.0,4837622.0,2304866.0
Sweden,50897.0,27483.0,24322.0,,80398.0,37572.0,5934.0,1748.0,20033.0,8702.0,479899.0,241128.0,1125790.0,587300.0
Switzerland,46711.0,24352.0,10537.0,,102657.0,,46365.0,,52952.0,,1511937.0,712510.0,,
Turkey,5072.0,,4553.0,,,,,,,,,,,
United Kingdom,154018.0,79118.0,28320.0,,451702.0,210000.0,96740.0,,173390.0,79000.0,3392000.0,1738000.0,5757000.0,2984000.0
United States,702589.0,387773.0,41101.0,,1266129.0,703121.0,71363.0,27153.0,,,20836032.0,9853562.0,35769603.0,17839561.0
