Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,83698.0,42893.0,15786.0,235993.0,119167.0,29435.0,12234.0,29851.0,14131.0,,,6214010.0,3138290.0
Austria,7043.0,3832.0,17413.0,125605.0,56972.0,71595.0,25666.0,74394.0,31327.0,951429.0,473135.0,1323083.0,693153.0
Belgium,38612.0,20350.0,18525.0,128948.0,60811.0,15204.0,5494.0,69498.0,31788.0,1169064.0,575250.0,1643614.0,846775.0
Canada,111923.0,59014.0,20223.0,257763.0,131357.0,289613.0,104593.0,,,,,,
Chile,1226.0,660.0,168.0,65247.0,31834.0,55831.0,27325.0,,,,,388229.0,
Czech Republic,2036.0,,753.0,28607.0,12436.0,,,16674.0,6197.0,434153.0,185171.0,,
Denmark,3489.0,1911.0,6186.0,35490.0,17372.0,,,29098.0,14761.0,358858.0,182678.0,441538.0,226180.0
Estonia,1340.0,734.0,77.0,1107.0,495.0,1087.0,,351.0,165.0,211097.0,103563.0,210842.0,125097.0
Finland,9087.0,4967.0,2922.0,23334.0,11102.0,22000.0,,4226.0,1694.0,183133.0,86178.0,266148.0,131356.0
France,96050.0,49426.0,55068.0,151599.0,126235.0,31309.0,9888.0,,,3980635.0,1966660.0,7474654.0,3853464.0
Germany,112348.0,56551.0,64539.0,965908.0,377107.0,,,578759.0,205587.0,6930896.0,3384236.0,9807000.0,5056000.0
Greece,20302.0,9747.0,9577.0,17732.0,,,,,,757430.0,375354.0,729926.0,375463.0
Hungary,18379.0,9474.0,2157.0,20340.0,8790.0,18721.0,,9916.0,4007.0,143361.0,63446.0,402691.0,207644.0
Iceland,413.0,246.0,113.0,2827.0,1389.0,,,2210.0,978.0,20957.0,10243.0,34671.0,17843.0
Ireland,25039.0,14008.0,1104.0,37200.0,18700.0,2913.0,,33300.0,15000.0,599992.0,280700.0,,
Israel,,,4760.0,16558.0,8740.0,29600.0,,,,,,1850000.0,1005000.0
Italy,65383.0,35012.0,17352.0,321305.0,165784.0,66742.0,22342.0,38218.0,20498.0,4052081.0,2160521.0,5715065.0,3089056.0
Japan,10622.0,,2545.0,303926.0,,63461.0,,219373.0,,2078508.0,1133355.0,,
Korea,12527.0,,1143.0,300177.0,135067.0,118001.0,33246.0,290043.0,122408.0,982461.0,427979.0,,
Latvia,3784.0,1853.0,189.0,3666.0,1343.0,,,4742.0,,324288.0,173816.0,289018.0,175820.0
Luxembourg,4680.0,2351.0,2003.0,19439.0,8917.0,,,8598.0,3848.0,229870.0,112785.0,215347.0,
Mexico,3590.0,1917.0,811.0,18153.0,8300.0,6219.0,1960.0,,,303936.0,140525.0,973650.0,480983.0
Netherlands,30955.0,17582.0,9664.0,115678.0,57978.0,10491.0,2993.0,80762.0,37340.0,786057.0,396778.0,1906295.0,993292.0
New Zealand,27607.0,14040.0,324.0,71640.0,34462.0,86879.0,39669.0,41039.0,19329.0,,,,
Norway,12384.0,6597.0,9785.0,70012.0,31165.0,49378.0,11855.0,21298.0,9601.0,407262.0,187839.0,616286.0,297947.0
Poland,3792.0,1887.0,9167.0,47131.0,,38167.0,,,,85829.0,39628.0,,
Portugal,21819.0,11227.0,299.0,38537.0,20134.0,,,,,436822.0,217685.0,,
Slovak Republic,255.0,129.0,732.0,2940.0,972.0,14006.0,3594.0,80.0,27.0,53412.0,20874.0,169848.0,86466.0
Slovenia,1490.0,684.0,305.0,12281.0,4719.0,27136.0,4482.0,1703.0,420.0,85555.0,26341.0,230109.0,99142.0
Spain,115557.0,64651.0,2579.0,272489.0,138905.0,5983.0,2042.0,389339.0,159208.0,5236030.0,2517873.0,6294952.0,3113382.0
Sweden,49746.0,25286.0,43876.0,82597.0,39764.0,16565.0,6791.0,26631.0,11156.0,655100.0,314802.0,1427296.0,732481.0
Switzerland,34121.0,18800.0,25948.0,143783.0,65936.0,73794.0,24363.0,65858.0,29370.0,1772279.0,830972.0,2158424.0,1109220.0
Turkey,,,26470.0,,,,,,,242128.0,130248.0,,
United Kingdom,194370.0,98034.0,27978.0,383000.0,197000.0,68114.0,,165000.0,78000.0,4788000.0,2469000.0,7588000.0,3950000.0
United States,757434.0,418125.0,66101.0,1031631.0,563958.0,65865.0,17843.0,,,22225536.0,10795570.0,40381570.0,20628430.0
