Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,81191.0,41724.0,12366.0,,127877.0,65079.0,32285.0,15438.0,10644.0,5283.0,,,4482120.0,2247730.0
Austria,31731.0,15696.0,30135.0,,74786.0,34831.0,,,51004.0,22181.0,701768.0,,843000.0,452200.0
Belgium,62982.0,,24549.0,,65974.0,32996.0,7019.0,,31391.0,,861685.0,415777.0,1080790.0,548300.0
Canada,167353.0,85960.0,44038.0,,250640.0,127017.0,119714.0,29605.0,,,1568645.0,,5448480.0,2825870.0
Chile,340.0,,81.0,,28924.0,,,,,,,,,
Czech Republic,6321.0,,18094.0,,11323.0,,,,20566.0,,200951.0,,448477.0,
Denmark,11902.0,,10269.0,,24642.0,,5132.0,,14798.0,,258629.0,130833.0,308674.0,156681.0
Estonia,3090.0,,12.0,,,,,,,,287072.0,,252686.0,
Finland,2720.0,1364.0,1651.0,,11037.0,5480.0,14085.0,,2157.0,940.0,91074.0,45538.0,136203.0,68734.0
France,127548.0,,47291.0,,106877.0,,9759.0,,,,,,,
Germany,178098.0,85519.0,88287.0,,685259.0,282471.0,373833.0,,496987.0,,7296817.0,3337441.0,,
Greece,,,5499.0,,,,,,,,304617.0,152721.0,1122894.0,557446.0
Hungary,8590.0,,9554.0,442.0,20308.0,,47269.0,,1944.0,,110028.0,56450.0,294573.0,
Iceland,352.0,235.0,52.0,,2515.0,1322.0,,,1075.0,609.0,8824.0,4834.0,16927.0,9194.0
Ireland,2443.0,,10325.0,,32700.0,15900.0,36436.0,,,,,,,
Israel,,,456.0,,43473.0,22922.0,78200.0,,,,,,1958000.0,1060000.0
Italy,10380.0,,9620.0,,172836.0,86524.0,,,9176.0,4779.0,1379749.0,,,
Japan,15291.0,,353.0,,351187.0,,141954.0,,232791.0,,1686444.0,,,
Korea,1680.0,,39.0,,163898.0,71269.0,,,108888.0,41954.0,210249.0,87500.0,,
Latvia,9947.0,,,14.0,,,,,,,582175.0,,443796.0,
Luxembourg,496.0,,687.0,,11055.0,5131.0,25802.0,8432.0,7625.0,,162300.0,81118.0,,
Mexico,3090.0,,415.0,,8053.0,,,,,,,,,
Netherlands,46667.0,23291.0,32579.0,,94507.0,,30153.0,,31852.0,14260.0,667802.0,322976.0,1615377.0,699474.0
New Zealand,23651.0,12266.0,1601.0,,85965.0,41911.0,57809.0,24946.0,26776.0,12870.0,,,698625.0,359742.0
Norway,10838.0,5885.0,14782.0,,25412.0,12984.0,17787.0,6704.0,15216.0,7311.0,184337.0,92699.0,305035.0,152602.0
Poland,766.0,,4529.0,,21466.0,,17038.0,,,,,,776185.0,460269.0
Portugal,1082.0,,234.0,,151433.0,,136008.0,,83.0,,207607.0,89327.0,,
Slovak Republic,2886.0,,8151.0,,4723.0,,,,,,28801.0,,,
Slovenia,,,1511.0,,,,,,3369.0,609.0,,,214946.0,99395.0
Spain,16743.0,,9489.0,,394048.0,183468.0,153007.0,,,,1370657.0,653820.0,1969270.0,973447.0
Sweden,35458.0,19008.0,23515.0,,43833.0,20695.0,12647.0,,12667.0,5970.0,472350.0,243157.0,1003798.0,523587.0
Switzerland,27586.0,14469.0,20633.0,,101353.0,,41867.0,,52713.0,,1384382.0,646627.0,1570756.0,815903.0
Turkey,,,5041.0,,,,,,,,271280.0,131496.0,1278671.0,663554.0
United Kingdom,90282.0,,71010.0,,262239.0,132000.0,85144.0,,117289.0,,2342000.0,1244000.0,,
United States,608205.0,308502.0,59432.0,,1058902.0,,178702.0,,,,17757696.0,8635119.0,30273271.0,15253722.0
