Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,95235.0,48125.0,11505.0,,206362.0,106622.0,22364.0,9870.0,31232.0,14906.0,,,6018180.0,3037670.0
Austria,6690.0,3574.0,14416.0,,109921.0,50203.0,65011.0,,72812.0,31398.0,913203.0,453919.0,1294706.0,679155.0
Belgium,29786.0,15770.0,26003.0,,117948.0,58870.0,15257.0,5489.0,56596.0,26909.0,1119256.0,550908.0,1628793.0,832536.0
Canada,179451.0,94789.0,24985.0,,248701.0,126941.0,274448.0,103889.0,,,1957000.0,1027000.0,6775765.0,3544400.0
Chile,1030.0,560.0,305.0,0.0,50651.0,24864.0,41358.0,20741.0,,,,,369436.0,
Czech Republic,1936.0,,756.0,,20673.0,9271.0,,,2468.0,711.0,424291.0,180080.0,745193.0,356665.0
Denmark,3911.0,1994.0,3811.0,,34572.0,16875.0,6330.0,,26574.0,13256.0,346046.0,176047.0,428904.0,219589.0
Estonia,1518.0,840.0,67.0,,1675.0,724.0,1816.0,,606.0,290.0,,,212685.0,126747.0
Finland,4558.0,2655.0,3086.0,,20416.0,9706.0,21000.0,,3334.0,1376.0,167954.0,79341.0,248135.0,122746.0
France,114569.0,59081.0,52147.0,,142125.0,116642.0,31001.0,9160.0,,,3892827.0,1918446.0,7372688.0,3796442.0
Germany,106897.0,54815.0,45741.0,,841695.0,327927.0,,,538837.0,195268.0,6753621.0,3311173.0,10551000.0,5368000.0
Greece,17533.0,8382.0,9311.0,2.0,23206.0,,,,,,810019.0,400893.0,750699.0,381491.0
Hungary,20554.0,11071.0,1693.0,787.0,22514.0,9938.0,22403.0,,2687.0,1048.0,209202.0,98190.0,443295.0,229502.0
Iceland,370.0,201.0,76.0,,2754.0,1377.0,,,2847.0,1175.0,21143.0,10112.0,34709.0,17620.0
Ireland,10749.0,5278.0,1419.0,,33700.0,17500.0,3179.0,,38600.0,21300.0,598138.0,298396.0,766770.0,386001.0
Israel,,,5700.0,,16892.0,8855.0,32700.0,,,,,,1869000.0,1014000.0
Italy,56153.0,29632.0,34117.0,,354327.0,185601.0,119342.0,38173.0,32404.0,17331.0,3879224.0,2060617.0,5759022.0,3111328.0
Japan,10359.0,,1867.0,,266867.0,,51723.0,,230873.0,,2132913.0,1161050.0,,
Korea,18400.0,,1011.0,,307249.0,138535.0,122900.0,36611.0,217702.0,94115.0,1002742.0,440811.0,,
Latvia,2467.0,1275.0,335.0,335.0,2861.0,924.0,,,6681.0,,342799.0,183322.0,302849.0,183174.0
Luxembourg,3405.0,1816.0,2076.0,,19108.0,8659.0,,,7471.0,3324.0,220522.0,108905.0,205162.0,102197.0
Mexico,2633.0,1340.0,753.0,,21992.0,10412.0,6441.0,2106.0,,,281053.0,131528.0,966778.0,480554.0
Netherlands,28598.0,16382.0,11590.0,,118457.0,58718.0,11975.0,3055.0,70214.0,32597.0,760368.0,383943.0,1868655.0,972649.0
New Zealand,19513.0,9824.0,305.0,,71358.0,34693.0,85447.0,38757.0,44609.0,21200.0,,,,
Norway,14637.0,7762.0,9053.0,,70759.0,30671.0,47267.0,11277.0,22883.0,10384.0,369228.0,172881.0,569096.0,277998.0
Poland,2325.0,,5086.0,,41336.0,,39466.0,,,,79338.0,36850.0,674900.0,
Portugal,23238.0,11829.0,275.0,,45369.0,23420.0,,,,,445262.0,219698.0,871813.0,463344.0
Slovak Republic,272.0,127.0,491.0,,3751.0,1258.0,13306.0,2793.0,160.0,42.0,67976.0,24233.0,145656.0,
Slovenia,1775.0,829.0,373.0,,10765.0,4229.0,27958.0,5014.0,2051.0,740.0,82746.0,24049.0,228588.0,97415.0
Spain,114599.0,63319.0,3414.0,,335893.0,172768.0,7647.0,3013.0,353562.0,141229.0,5312440.0,2529224.0,6282208.0,3073685.0
Sweden,36328.0,19220.0,29648.0,,75852.0,35818.0,15230.0,5549.0,23673.0,10095.0,633292.0,305182.0,1384929.0,711846.0
Switzerland,36757.0,19596.0,19439.0,,142471.0,66022.0,71583.0,23928.0,64038.0,28798.0,1720393.0,806819.0,2075182.0,1069801.0
Turkey,9216.0,,16021.0,,,,,,,,190531.0,101331.0,,
United Kingdom,177934.0,88370.0,25898.0,,453000.0,208000.0,58806.0,,190000.0,87000.0,4785000.0,2453000.0,7430000.0,3871000.0
United States,694193.0,377581.0,60587.0,,1062040.0,581351.0,64838.0,16541.0,,,22460563.0,10884770.0,39916875.0,20355071.0
