Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,81001.0,42047.0,4295.0,,123411.0,63768.0,36043.0,15054.0,,,,,4655610.0,2340450.0
Austria,44694.0,22357.0,32359.0,,93341.0,44464.0,,,48940.0,19690.0,746753.0,355570.0,1137351.0,587872.0
Belgium,33709.0,,16940.0,,68800.0,36177.0,4627.0,,33921.0,,850077.0,410425.0,1156732.0,595119.0
Canada,155535.0,82112.0,31937.0,,221349.0,114852.0,126207.0,44592.0,,,,,,
Chile,329.0,,87.0,,29835.0,,,,,,,,184464.0,96340.0
Czech Republic,3410.0,,11396.0,,57438.0,19171.0,,,33203.0,9795.0,231608.0,,,
Denmark,6583.0,,4593.0,,18385.0,,2324.0,,15757.0,,265424.0,135382.0,331506.0,169156.0
Estonia,3706.0,,14.0,,,,,,,,,,,
Finland,4526.0,2568.0,3221.0,,9432.0,4689.0,13820.0,,2278.0,939.0,103682.0,51985.0,152057.0,76843.0
France,144640.0,,59768.0,,136370.0,,7371.0,,,,,,,
Germany,140731.0,67632.0,50563.0,,601759.0,253656.0,372172.0,,499063.0,,7335592.0,3408828.0,,
Greece,,,8178.0,,,,,,,,436781.0,217619.0,,
Hungary,5261.0,,2401.0,591.0,19365.0,,57383.0,,2553.0,,115888.0,59238.0,302750.0,
Iceland,463.0,275.0,80.0,,1353.0,711.0,,,873.0,483.0,10221.0,5535.0,19072.0,10328.0
Ireland,3993.0,,7900.0,,42400.0,20700.0,47551.0,,,,219296.0,109325.0,390034.0,196293.0
Israel,,,,,23273.0,12204.0,31100.0,,,,,,1983000.0,1067000.0
Italy,13406.0,,13455.0,,424856.0,219128.0,,,12886.0,6556.0,1549373.0,761099.0,,
Japan,17633.0,,336.0,,373918.0,,155831.0,,259402.0,,1851758.0,,,
Korea,7734.0,,86.0,,168875.0,65887.0,,,154349.0,59833.0,271666.0,111113.0,,
Latvia,9951.0,,,5.0,,,,,,,534532.0,287695.0,,
Luxembourg,785.0,,1549.0,,12554.0,5777.0,22633.0,7423.0,6860.0,,170700.0,,,
Mexico,4317.0,,275.0,,6945.0,,,,,,,,,
Netherlands,28799.0,14921.0,13402.0,,73566.0,,38036.0,,43861.0,18718.0,699954.0,341221.0,1714155.0,733163.0
New Zealand,18366.0,9537.0,841.0,,86011.0,42379.0,68648.0,31204.0,33795.0,15997.0,,,,
Norway,7867.0,4426.0,15959.0,,26787.0,13772.0,25295.0,8456.0,14345.0,6592.0,197668.0,99901.0,333855.0,168583.0
Poland,1634.0,,6909.0,,30325.0,,18841.0,,,,49221.0,24659.0,,
Portugal,1747.0,,88.0,,31754.0,,16419.0,,178.0,,413304.0,149339.0,,
Slovak Republic,3492.0,,10358.0,,4562.0,,,,3611.0,,29491.0,,,
Slovenia,,,1100.0,,,,,,3980.0,1488.0,,,217927.0,100833.0
Spain,26556.0,14790.0,5918.0,,429524.0,206488.0,73108.0,,9969.0,4847.0,2664168.0,1249418.0,3302440.0,1590527.0
Sweden,33222.0,18018.0,31348.0,,47988.0,24272.0,10186.0,,15134.0,6973.0,473266.0,239530.0,1053463.0,548913.0
Switzerland,35424.0,18595.0,20806.0,,94049.0,,35396.0,,46320.0,,1447312.0,679177.0,,
Turkey,21086.0,,3952.0,,,,,,,,,,,
United Kingdom,130535.0,68143.0,60050.0,,327405.0,160000.0,85786.0,,144096.0,,2584000.0,1357000.0,,
United States,462435.0,250479.0,43338.0,,703542.0,388273.0,36005.0,10741.0,,,20490602.0,9703329.0,33096150.0,16637882.0
