Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,127674.0,66454.0,27399.0,155817.0,83460.0,50675.0,18497.0,,,,,7530380.0,3852040.0
Austria,,,10790.0,,,,,,,1438923.0,703270.0,1728554.0,882170.0
Belgium,,,23140.0,,,,,,,1423208.0,695825.0,1981454.0,1008045.0
Canada,249684.0,,58338.0,,,,,,,,,,
Chile,,,770.0,254080.0,,,,,,,,,
Czech Republic,4456.0,,1575.0,63340.0,24557.0,,,17476.0,6858.0,564345.0,243628.0,,
Denmark,1781.0,1016.0,2645.0,,,,,,,525849.0,258998.0,607622.0,304170.0
Estonia,,,100.0,,,,,,,216350.0,102546.0,197896.0,112655.0
Finland,,,2455.0,,,,,,,257572.0,117452.0,387215.0,187492.0
France,,,119915.0,,,,,,,4763340.0,,8343837.0,
Germany,128905.0,,142510.0,,,,,,,10915455.0,5042975.0,13457000.0,6624000.0
Greece,,,74915.0,,,,,,,,,,
Hungary,,,470.0,,,,,,,180525.0,75047.0,564761.0,274777.0
Iceland,,,805.0,,,,,,,44270.0,18283.0,61401.0,27952.0
Ireland,,,4740.0,,,,,,,622700.0,310800.0,,
Israel,,,9444.0,,,,,,,,,1808920.0,988910.0
Italy,,,35005.0,261030.0,,,,,,5255503.0,2718716.0,6297993.0,3378636.0
Japan,,,10375.0,,,,,,,2731093.0,1403200.0,,
Korea,,,15433.0,,,,,,,1246834.0,530214.0,,
Latvia,808.0,,180.0,6645.0,,4447.0,,4088.0,,266625.0,,241754.0,
Luxembourg,,,2200.0,,,,,,,291282.0,141375.0,291185.0,143015.0
Mexico,,,70366.0,,,,,,,461988.0,218184.0,,
Netherlands,,,22540.0,,,,,,,1110861.0,554061.0,2298709.0,1193697.0
New Zealand,,,538.0,,,,,,,,,,
Norway,13201.0,7034.0,2205.0,44570.0,21322.0,,,17570.0,8241.0,584243.0,268096.0,841580.0,406473.0
Poland,,,2765.0,,,,,,,,,,
Portugal,,,1735.0,,,,,,,480300.0,242834.0,,
Slovak Republic,586.0,287.0,215.0,2486.0,957.0,55098.0,14654.0,39.0,10.0,76116.0,28728.0,194389.0,94496.0
Slovenia,,,3615.0,,,,,,,138193.0,47363.0,265072.0,112255.0
Spain,,,115190.0,,,,,,,4840207.0,2455396.0,6538961.0,3407434.0
Sweden,61009.0,,23150.0,,,,,,,932266.0,425170.0,1955569.0,973027.0
Switzerland,,,12600.0,,,,,,,2081169.0,981269.0,2553416.0,1299944.0
Turkey,,,56417.0,578488.0,,,,,,,,,
United Kingdom,,,44315.0,,,,,,,,,,
United States,,,301065.0,,,,,,,,,44728502.0,
