Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,123438.0,62015.0,11741.0,244849.0,124882.0,27966.0,11933.0,31703.0,14972.0,,,6408740.0,3240330.0
Austria,7354.0,3927.0,17503.0,135228.0,61994.0,86427.0,31116.0,74508.0,32410.0,1004268.0,499314.0,1364771.0,713584.0
Belgium,34801.0,17966.0,12500.0,117595.0,56687.0,13064.0,,78770.0,34865.0,1257210.0,609379.0,1748331.0,889837.0
Canada,127470.0,69100.0,10356.0,259034.0,134114.0,309858.0,113028.0,,,,,,
Chile,678.0,377.0,249.0,84352.0,41009.0,65641.0,31094.0,,,,,415540.0,220841.0
Czech Republic,2514.0,,503.0,27843.0,12308.0,,,27152.0,10748.0,435946.0,188119.0,,
Denmark,1750.0,953.0,7557.0,41342.0,19812.0,,,29738.0,15139.0,374705.0,190280.0,456386.0,233478.0
Estonia,1330.0,722.0,97.0,1633.0,715.0,1233.0,,326.0,152.0,210949.0,103128.0,198411.0,118862.0
Finland,8930.0,4688.0,3023.0,23873.0,11355.0,20000.0,,4235.0,1797.0,195511.0,91691.0,285471.0,140705.0
France,97276.0,,60234.0,251299.0,130364.0,27321.0,9671.0,,,4083857.0,2021533.0,7590945.0,3917212.0
Germany,112353.0,57558.0,109580.0,1108068.0,434622.0,,,657604.0,233610.0,7213708.0,3502383.0,10102000.0,5191000.0
Greece,29462.0,13076.0,8224.0,31302.0,,,,,,768122.0,383901.0,,
Hungary,9178.0,4332.0,18565.0,21250.0,9221.0,18670.0,,13111.0,4996.0,141357.0,62072.0,424192.0,217344.0
Iceland,597.0,359.0,172.0,3932.0,1866.0,,,2298.0,1092.0,21446.0,10548.0,35437.0,18328.0
Ireland,24263.0,13151.0,946.0,41000.0,19200.0,3034.0,,33000.0,16500.0,601846.0,282900.0,,
Israel,,,5560.0,16884.0,8939.0,35600.0,,,,,,1835000.0,997000.0
Italy,100712.0,51728.0,25720.0,279021.0,146620.0,80726.0,26134.0,43640.0,23608.0,4387721.0,2327968.0,5695883.0,3077849.0
Japan,8646.0,,3260.0,306742.0,,63872.0,,213364.0,,2033656.0,1111787.0,,
Korea,13956.0,,1574.0,360473.0,159429.0,148374.0,43909.0,268086.0,120791.0,932983.0,408563.0,,
Latvia,3083.0,1594.0,185.0,3525.0,1402.0,,,3411.0,,315414.0,168998.0,279227.0,170183.0
Luxembourg,4411.0,2239.0,989.0,19797.0,9112.0,,,8933.0,3966.0,238844.0,116796.0,226100.0,
Mexico,3581.0,1823.0,1296.0,62990.0,30135.0,17127.0,6212.0,,,296447.0,137399.0,991160.0,486214.0
Netherlands,25882.0,13766.0,14399.0,122321.0,61225.0,7966.0,2282.0,83050.0,39812.0,796243.0,402921.0,1927728.0,1007390.0
New Zealand,28468.0,14533.0,291.0,77191.0,37195.0,93732.0,42735.0,39439.0,19037.0,,,1001772.0,517137.0
Norway,13223.0,7107.0,11467.0,66934.0,30288.0,47388.0,11608.0,25036.0,10876.0,448765.0,205336.0,663870.0,318959.0
Poland,3462.0,,13758.0,46614.0,19796.0,38807.0,13546.0,,,93265.0,43027.0,,
Portugal,24476.0,12749.0,507.0,33246.0,16632.0,,,,,417042.0,210529.0,,
Slovak Republic,207.0,118.0,281.0,2475.0,806.0,8775.0,1985.0,38.0,12.0,56514.0,21875.0,172638.0,87246.0
Slovenia,1470.0,665.0,243.0,11621.0,4462.0,22594.0,3629.0,719.0,136.0,91385.0,29264.0,232703.0,100625.0
Spain,225793.0,122706.0,4513.0,248350.0,125369.0,4858.0,1478.0,458974.0,197976.0,5072680.0,2470412.0,6174740.0,3092406.0
Sweden,49632.0,26101.0,54259.0,95361.0,45476.0,15139.0,6350.0,24603.0,10781.0,667232.0,321161.0,1473256.0,755953.0
Switzerland,34332.0,18197.0,19440.0,155401.0,71905.0,77753.0,26024.0,70023.0,31510.0,1825060.0,856034.0,2218445.0,1137271.0
Turkey,,,44807.0,,,,,,,278664.0,156813.0,,
United Kingdom,208095.0,109407.0,29395.0,406000.0,209000.0,,,170000.0,73000.0,4941000.0,2589000.0,7860000.0,4115000.0
United States,779929.0,431427.0,68243.0,990553.0,513736.0,75176.0,20482.0,,,22114981.0,10852787.0,40738224.0,20962950.0
