Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,119383.0,58430.0,8246.0,,202212.0,106604.0,22168.0,10008.0,29320.0,13984.0,,,5881360.0,2960250.0
Austria,6135.0,3263.0,11012.0,,96896.0,45540.0,54965.0,,68398.0,29236.0,883579.0,437188.0,1275487.0,667972.0
Belgium,34635.0,18023.0,21755.0,,113582.0,58041.0,12772.0,4379.0,50793.0,24083.0,1057666.0,520433.0,1503806.0,776925.0
Canada,143579.0,75333.0,22543.0,,280686.0,143684.0,246644.0,91528.0,,,,,,
Chile,741.0,373.0,260.0,,41431.0,20100.0,32413.0,16543.0,,,,,352344.0,186319.0
Czech Republic,1495.0,,979.0,,28046.0,12844.0,,,12481.0,2518.0,432503.0,178976.0,,
Denmark,3006.0,1526.0,4965.0,,33442.0,16860.0,7970.0,,27084.0,13324.0,329940.0,167397.0,414422.0,211642.0
Estonia,1189.0,,30.0,,1199.0,489.0,1217.0,,629.0,277.0,,,217890.0,130246.0
Finland,4334.0,2595.0,4018.0,,18212.0,8365.0,21000.0,,3123.0,1315.0,155705.0,74091.0,233183.0,115738.0
France,143261.0,73091.0,48074.0,,145831.0,113113.0,30379.0,8916.0,,,3821456.0,1874639.0,7287794.0,3744471.0
Germany,101570.0,51847.0,41332.0,,683529.0,272343.0,,,529605.0,,6694776.0,3282944.0,10557000.0,5369000.0
Greece,9387.0,4860.0,10273.0,,33368.0,,,,47125.0,,839706.0,405475.0,828368.0,418202.0
Hungary,6086.0,3437.0,2104.0,768.0,23884.0,10438.0,25078.0,,6047.0,2199.0,197819.0,93100.0,407322.0,212018.0
Iceland,450.0,265.0,51.0,,2988.0,1451.0,,,3419.0,1298.0,21701.0,10082.0,35121.0,17485.0
Ireland,6387.0,3058.0,1939.0,,23900.0,12500.0,3378.0,,40300.0,16500.0,575400.0,284500.0,,
Israel,,,6460.0,,16633.0,8666.0,32300.0,,,,,,1878000.0,1017000.0
Italy,65938.0,33371.0,10052.0,,424499.0,235649.0,359051.0,156553.0,32817.0,17147.0,3648128.0,1913799.0,5787893.0,3124004.0
Japan,13072.0,,1203.0,,287071.0,,52503.0,,242634.0,,2184724.0,1179939.0,,
Korea,17323.0,,425.0,,293070.0,136747.0,128546.0,44403.0,196076.0,86924.0,920887.0,407041.0,,
Latvia,3660.0,1749.0,,61.0,2790.0,,,,,,362378.0,193178.0,313786.0,
Luxembourg,4311.0,2251.0,744.0,,15814.0,7192.0,,,7651.0,3408.0,216345.0,106678.0,197246.0,
Mexico,2150.0,1064.0,1039.0,,26180.0,12553.0,8699.0,2886.0,,,262672.0,120007.0,961121.0,473515.0
Netherlands,26275.0,15006.0,13333.0,,110235.0,54825.0,13593.0,,64044.0,28650.0,735197.0,369972.0,1832510.0,
New Zealand,15331.0,7744.0,340.0,,69686.0,33554.0,78490.0,36555.0,43434.0,20465.0,,,,
Norway,11903.0,6212.0,10064.0,,65065.0,29067.0,51604.0,13216.0,22496.0,9280.0,333873.0,157015.0,526800.0,258296.0
Poland,2926.0,1542.0,6534.0,,41061.0,,34794.0,,,,75210.0,35340.0,,
Portugal,21750.0,10314.0,160.0,,50747.0,26083.0,,,,,454191.0,219779.0,,
Slovak Republic,239.0,121.0,541.0,,4161.0,1438.0,9836.0,731.0,377.0,89.0,62882.0,22382.0,140704.0,
Slovenia,1840.0,841.0,246.0,,12705.0,4417.0,42456.0,5819.0,12032.0,2510.0,82176.0,22087.0,253786.0,108648.0
Spain,123721.0,70604.0,2744.0,,330286.0,168792.0,7350.0,3046.0,363221.0,145896.0,5402579.0,2552921.0,6280064.0,3041829.0
Sweden,32197.0,17504.0,31823.0,,79036.0,36739.0,11346.0,4111.0,22061.0,9453.0,602893.0,292478.0,1337965.0,689539.0
Switzerland,39314.0,20761.0,13521.0,,134171.0,63161.0,63261.0,,65523.0,29654.0,1680197.0,787260.0,,
Turkey,9488.0,,9226.0,,29905.0,16060.0,,,,,167344.0,89099.0,,
United Kingdom,195094.0,103518.0,22644.0,,459000.0,201000.0,62399.0,,185000.0,88000.0,4524000.0,2307000.0,7056000.0,3627000.0
United States,619913.0,328965.0,42971.0,,1042625.0,570771.0,66961.0,16422.0,,,21640993.0,10188207.0,38452822.0,19258264.0
