Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,162002.0,81019.0,8988.0,233908.0,122633.0,27865.0,11131.0,32637.0,15181.0,,,6570240.0,3332920.0
Austria,7570.0,4073.0,28060.0,154260.0,68308.0,28462.0,10962.0,76517.0,32792.0,1066114.0,529287.0,1414624.0,737798.0
Belgium,18726.0,9234.0,13876.0,106345.0,51380.0,5581.0,,64913.0,28675.0,1268081.0,616918.0,1775561.0,905847.0
Canada,259274.0,137115.0,13661.0,260283.0,136231.0,287667.0,106352.0,,,,,,
Chile,1048.0,552.0,282.0,83549.0,40348.0,,,,,,,441529.0,
Czech Republic,5114.0,,914.0,38490.0,17054.0,,,16054.0,6560.0,439152.0,190647.0,,
Denmark,4747.0,2395.0,14774.0,49039.0,22297.0,,,30427.0,15310.0,397300.0,200945.0,476059.0,242780.0
Estonia,1614.0,884.0,143.0,1347.0,507.0,1621.0,,323.0,158.0,211705.0,102937.0,196558.0,117859.0
Finland,8260.0,4462.0,3517.0,23647.0,11474.0,,,5471.0,2357.0,207511.0,97346.0,304279.0,149826.0
France,105613.0,53939.0,59041.0,251767.0,130673.0,32552.0,11852.0,,,4199934.0,2081499.0,7715134.0,3982675.0
Germany,108422.0,56730.0,173072.0,1342529.0,522220.0,,,765605.0,271171.0,7633628.0,3675009.0,10465000.0,5343000.0
Greece,21829.0,9149.0,9432.0,29510.0,,,,,,687119.0,,727477.0,384932.0
Hungary,8745.0,4216.0,41111.0,26004.0,11081.0,13163.0,,10828.0,4281.0,140536.0,61764.0,447657.0,227689.0
Iceland,595.0,357.0,170.0,4348.0,1939.0,,,2475.0,1110.0,22744.0,11090.0,37230.0,19210.0
Ireland,21090.0,10783.0,1448.0,43700.0,22700.0,4861.0,,30000.0,15000.0,603700.0,288300.0,,
Israel,,,226.0,24112.0,12548.0,38200.0,,,,,,1821000.0,991000.0
Italy,129887.0,63762.0,63657.0,248360.0,125473.0,53327.0,13078.0,47954.0,26107.0,4921272.0,2591597.0,5737213.0,3123438.0
Japan,9277.0,,5000.0,336525.0,,67086.0,,212938.0,,2066445.0,1123008.0,,
Korea,14200.0,,2896.0,407063.0,183357.0,163080.0,53158.0,270523.0,126474.0,985923.0,423228.0,,
Latvia,2141.0,1147.0,364.0,4501.0,1459.0,,,1391.0,,304835.0,163366.0,271126.0,165332.0
Luxembourg,4991.0,2490.0,973.0,21024.0,9776.0,,,9489.0,4230.0,248914.0,121433.0,237693.0,
Mexico,2341.0,1118.0,1524.0,43481.0,21242.0,10304.0,3726.0,,,,,939905.0,465471.0
Netherlands,32578.0,17812.0,23850.0,139348.0,67604.0,7067.0,1697.0,83443.0,39195.0,816031.0,413785.0,1953436.0,1022092.0
New Zealand,28759.0,14660.0,288.0,91692.0,42423.0,102752.0,47278.0,37828.0,18195.0,,,,
Norway,15336.0,8420.0,12640.0,61429.0,27527.0,42796.0,11055.0,23320.0,10212.0,483177.0,220568.0,704511.0,337882.0
Poland,4518.0,,6810.0,31977.0,13193.0,43321.0,14373.0,,,101204.0,46191.0,,
Portugal,21124.0,11296.0,442.0,35265.0,17333.0,,,,,401320.0,205776.0,,
Slovak Republic,234.0,123.0,228.0,2418.0,791.0,8018.0,2128.0,69.0,26.0,59151.0,22717.0,174908.0,87835.0
Slovenia,1057.0,439.0,361.0,11311.0,4482.0,21330.0,3089.0,995.0,278.0,96608.0,31661.0,235310.0,101809.0
Spain,205880.0,109837.0,5947.0,264485.0,133308.0,4935.0,1587.0,319989.0,139056.0,4677059.0,2295786.0,5958308.0,3017839.0
Sweden,42918.0,23621.0,75096.0,106100.0,47837.0,12695.0,5592.0,26376.0,11790.0,694662.0,332908.0,1533493.0,785127.0
Switzerland,33325.0,17605.0,22113.0,152106.0,69712.0,80509.0,27731.0,69227.0,31053.0,1886630.0,885115.0,2289560.0,1171682.0
Turkey,,,87820.0,,,,,,,456506.0,242557.0,1459775.0,784619.0
United Kingdom,125754.0,64810.0,32344.0,504000.0,248000.0,,,171000.0,87000.0,5154000.0,2645000.0,8064000.0,4178000.0
United States,653416.0,360547.0,121160.0,1016518.0,547361.0,70991.0,19032.0,,,22016426.0,10725992.0,41344354.0,21211429.0
